CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME,IARE_CODE,IARE_NAME,IREG_CODE,IREG_NAME
WADEYE,-14.2413341,129.5208699,"Wadeye, West Daly Region, Northern Territory, 0822, Australia",70203105901,702031059,Thamarrurr,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704005,Thamarrurr inc. Wadeye,704,Jabiru - Tiwi
WALLACE ROCKHOLE,-24.1227785,133.0922731,"Wallace Rockhole, Macdonnell Region, Northern Territory, 0872, Australia",70201105307,702011053,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709014,West MacDonnell Ranges,709,Apatula
WANDAWUY,-12.8912856,136.3553432,"Wandawuy, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106304,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
WARRUWI,-11.6581945,133.3814248,"Warruwi, West Arnhem Region, Northern Territory, 0822, Australia",70203106108,702031061,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704004,North-West Arnhem,704,Jabiru - Tiwi
WILLOWRA,-21.2461353,132.6139115,"Willowra, Central Desert Region, Northern Territory, Australia",70201105403,702011054,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709015,Willowra,709,Apatula
WOODYCUPALDIYA,-13.8590441,130.0015861,"Woodycupaldiya, West Daly Region, Northern Territory, Australia",70203105806,702031058,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704001,Douglas-Daly,704,Jabiru - Tiwi
WOODYCUPILDIYA,-13.8369151,130.2208912,"Woodycupildiya Road, Nemarluk, Woodycupaldiya, West Daly Region, Northern Territory, Australia",70203105806,702031058,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704001,Douglas-Daly,704,Jabiru - Tiwi
WURRUMIYANGA,-11.7625858,130.6321091,"Wurrumiyanga, Tiwi Islands Region, Northern Territory, 0822, Australia",70203106003,702031060,Tiwi Islands,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704006,Tiwi Islands,704,Jabiru - Tiwi
YARRALIN,-16.4478246,130.8820653,"Yarralin, Victoria Daly Region, Northern Territory, 0852, Australia",70205106809,702051068,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705009,Walangeri,705,Katherine
YILPARA-BANIYALA,-13.1991679,136.2276277,"Baniyala, East Arnhem Region, Northern Territory, Australia",70204106313,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
YIRRKALA,-12.2539194,136.8899744,"Yirrkala, East Arnhem Region, Northern Territory, 0880, Australia",70204106308,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706008,Yirrkala,706,Nhulunbuy
YUELAMU,-22.264456,132.2035238,"Yuelamu, Central Desert Region, Northern Territory, 0872, Australia",70201105404,702011054,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709016,Yuelamu,709,Apatula
YUENDUMU,-22.2527454,131.7978253,"Yuendumu, Central Desert Region, Northern Territory, 0872, Australia",70201105401,702011054,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709017,Yuendumu and Outstations,709,Apatula
YULARA,-25.2410108,130.9869405,"Yulara, Northern Territory, 0872, Australia",70201105012,702011050,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709009,Mutitjulu - Uluru - Imanpa,709,Apatula
