CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME
"Nguiu, NT, Australia",-11.7625858,130.6321091,"Wurrumiyanga, Tiwi Islands Region, Northern Territory, 0822, Australia",70203106003.0,702031060.0,Tiwi Islands,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Ngukurr, NT, Australia",-14.732635,134.7432914,"Ngukurr, Roper Gulf Region, Northern Territory, 0852, Australia",70205106608.0,702051066.0,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Nhulunbuy, NT, Australia",-12.1804346,136.7759913,"Nhulunbuy, Northern Territory, 0880, Australia",70204106414.0,702041064.0,Nhulunbuy,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Numbulwar, NT, Australia",-14.2780303,135.7421561,"Numbulwar, Roper Gulf Region, Northern Territory, 0822, Australia",70205106604.0,702051066.0,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Nyrippi, NT, Australia",,,Not found,,,,,,,
"Oenpelli, NT, Australia",-12.324689,133.0536179,"Gunbalanya, West Arnhem Region, Northern Territory, 0822, Australia",70203106101.0,702031061.0,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Palmerston, NT, Australia",-12.4799608,130.9844108,"Palmerston, City of Palmerston, Northern Territory, 0830, Australia",70104104110.0,701041041.0,Palmerston - North,Palmerston,Darwin,Greater Darwin,Northern Territory
"Papunya, NT, Australia",-23.2049554,131.9122492,"Papunya, Macdonnell Region, Northern Territory, 0872, Australia",70201105305.0,702011053.0,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Peppimenarti, NT, Australia",-14.1505822,130.0763736,"Peppimenarti, West Daly Region, Northern Territory, 0822, Australia",70203105805.0,702031058.0,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Pigeon Hole, NT, Australia",-16.7851075,131.2217968,"Pigeon Hole, Victoria Daly Region, Northern Territory, 0852, Australia",70205106804.0,702051068.0,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Pine Creek, NT, Australia",-13.8240162,131.835484,"Pine Creek, Victoria Daly Region, Northern Territory, 0847, Australia",70203105803.0,702031058.0,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Pirlangimpi, NT, Australia",-11.4049328,130.4173921,"Pirlangimpi, Tiwi Islands Region, Northern Territory, 0822, Australia",70203106004.0,702031060.0,Tiwi Islands,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Pmara Jutunta, NT, Australia",-22.2081247,133.4313954,"Pmara Jutunta, Central Desert Region, Northern Territory, Australia",70201105407.0,702011054.0,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Ramingining, NT, Australia",-12.3280046,134.9299289,"Ramingining, East Arnhem Region, Northern Territory, 0822, Australia",70204106318.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Robinson River, NT, Australia",-16.7594805,136.9808663,"Robinson River, Roper Gulf Region, Northern Territory, 0852, Australia",70205106611.0,702051066.0,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Rurrungala, NT, Australia",,,Not found,,,,,,,
"Santa Teresa, NT, Australia",-24.1292532,134.3730221,"Santa Teresa, Macdonnell Region, Northern Territory, Australia",70201105204.0,702011052.0,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Stirling, NT, Australia",-21.7233988,133.7576837,"Stirling, Stirling Homestead, Anmatjere, Central Desert Region, Northern Territory, 0872, Australia",70201105410.0,702011054.0,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Tara, NT, Australia",-21.4835455,133.9996035,"Tara, Barkly Region, Northern Territory, 0872, Australia",70202105509.0,702021055.0,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory
"Tennant Creek, NT, Australia",-19.6481652,134.1899847,"Tennant Creek, Barkly Region, Northern Territory, 0860, Australia",70202105601.0,702021056.0,Tennant Creek,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory
"Ti Tree, NT, Australia",-22.1295261,133.417508,"Ti Tree, Central Desert Region, Northern Territory, 0872, Australia",70201105406.0,702011054.0,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Timber Creek, NT, Australia",-15.6562054,130.4805463,"Timber Creek, Victoria Daly Region, Northern Territory, 0852, Australia",70205106802.0,702051068.0,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Umbakumba, NT, Australia",-13.8606295,136.8047384,"Umbakumba, Groote Archipelago Region, Northern Territory, 0822, Australia",70204106203.0,702041062.0,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Urapuntja, NT, Australia",-21.8997652,134.8405077,"Urapuntja Health Service, Sandover Highway, Costello, Atnwengerrpe, Barkly Region, Northern Territory, Australia",70201105213.0,702011052.0,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Wadeye, NT, Australia",-14.2413341,129.5208699,"Wadeye, West Daly Region, Northern Territory, 0822, Australia",70203105901.0,702031059.0,Thamarrurr,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Wallace Rockhole, NT, Australia",-24.1227785,133.0922731,"Wallace Rockhole, Macdonnell Region, Northern Territory, 0872, Australia",70201105307.0,702011053.0,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Wandawuy, NT, Australia",-12.8912856,136.3553432,"Wandawuy, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106304.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Warruwi, NT, Australia",-11.6581945,133.3814248,"Warruwi, West Arnhem Region, Northern Territory, 0822, Australia",70203106108.0,702031061.0,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Willowra, NT, Australia",-21.2461353,132.6139115,"Willowra, Central Desert Region, Northern Territory, Australia",70201105403.0,702011054.0,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Woodycupaldiya, NT, Australia",-13.8590441,130.0015861,"Woodycupaldiya, West Daly Region, Northern Territory, Australia",70203105806.0,702031058.0,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Woodycupildiya, NT, Australia",-13.8369151,130.2208912,"Woodycupildiya Road, Nemarluk, Woodycupaldiya, West Daly Region, Northern Territory, Australia",70203105806.0,702031058.0,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Wurrumiyanga, NT, Australia",-11.7625858,130.6321091,"Wurrumiyanga, Tiwi Islands Region, Northern Territory, 0822, Australia",70203106003.0,702031060.0,Tiwi Islands,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Yarralin, NT, Australia",-16.4478246,130.8820653,"Yarralin, Victoria Daly Region, Northern Territory, 0852, Australia",70205106809.0,702051068.0,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Yilpara-Baniyala, NT, Australia",-13.1991679,136.2276277,"Baniyala, East Arnhem Region, Northern Territory, Australia",70204106313.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Yirrkala, NT, Australia",-12.2539194,136.8899744,"Yirrkala, East Arnhem Region, Northern Territory, 0880, Australia",70204106308.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Yuelamu, NT, Australia",-22.264456,132.2035238,"Yuelamu, Central Desert Region, Northern Territory, 0872, Australia",70201105404.0,702011054.0,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Yuendumu, NT, Australia",-22.2527454,131.7978253,"Yuendumu, Central Desert Region, Northern Territory, 0872, Australia",70201105401.0,702011054.0,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Yulara, NT, Australia",-25.2410108,130.9869405,"Yulara, Northern Territory, 0872, Australia",70201105012.0,702011050.0,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
